x,y
12.71769,5.6846647
13.246649,3.7717295
13.492356,3.8104734
13.766347,3.236877
13.305421,5.4212027
13.096195,5.2832413
11.919268,3.687733
13.216665,5.4992743
13.545007,4.0138836
11.8410225,3.6005664
12.97745,3.725392
13.498727,4.57309
13.680085,2.6482618
13.854074,3.6556573
11.546994,6.5801506
10.056748,8.356449
9.292968,10.727635
10.584719,6.6578712
9.274789,2.9613054
10.94126,2.1749148
10.027994,9.597104
8.946132,3.6616373
10.143351,8.520327
9.183932,3.9708111
8.912426,3.9589317
9.76849,10.086352
9.233486,3.458046
10.106652,8.505788
10.07486,8.084456
10.29177,8.706086
10.342628,2.9900212
9.380064,3.5855157
9.129488,3.855301
10.551186,8.48526
9.23672,3.962966
10.257296,7.439521
10.104598,9.145845
10.344252,2.131038
10.158299,8.328057
9.295073,4.013774
10.229129,8.231497
10.382468,6.2828264
10.157066,9.653055
9.145759,3.7860487
10.055573,9.144717
10.050165,8.059742
10.273772,8.789298
8.787979,3.9034982
10.170525,9.380359
9.481015,10.398494
8.938547,4.022149
10.04297,8.810896
10.153891,2.2329483
9.031831,4.231194
9.9002695,7.7230353
8.4944315,2.715544
8.435631,3.114898
8.572455,2.2056355
9.074539,1.8801289
8.587916,2.6475577
9.116704,1.8202195
8.717171,1.9650629
8.764701,1.8965311
8.576286,3.2432537
8.425385,2.9782143
8.466972,3.5221317
8.655958,2.0675077
8.915794,1.9619799
8.496579,3.12006
8.5901165,3.4998512
8.717741,2.2978976
8.663952,2.9333913
8.606321,2.6129332
8.672357,2.0831625
8.62571,2.2536333
8.49032,2.209622
8.7594595,1.8809664
8.495684,2.431507
8.888895,2.0454872
8.500497,3.4990776
9.029041,1.8159935
8.501393,3.027509
8.73111,2.862987
8.947675,1.8670244
8.857471,1.8234906
8.563771,3.3356354
8.480872,2.362555
8.894847,3.157309
8.733875,2.511191
8.890458,1.9452845
12.795413,1.9866863
11.65316,1.9801369
12.953442,2.1679025
13.317716,2.3845806
13.374562,2.9245615
13.192336,2.1243973
13.118155,3.2298315
11.708133,2.0141191
12.234495,1.8772745
12.138549,1.91546
11.472848,2.0373168
11.461936,1.9359145
11.391038,2.050292
13.189453,2.139348
12.771345,3.1523275
12.222282,3.5297153
12.1813,2.008677
13.178602,2.11576
13.506225,3.1692479
13.189413,2.2221558
11.973167,4.0465126
13.092745,2.4496424
12.59608,3.0042493
12.451947,2.7286887
12.286737,3.3060207
11.283906,2.2129533
13.516262,2.4881852
12.045279,3.2238483
11.170286,2.0048573
11.740055,1.9353907
13.576653,2.5186548
13.7632265,3.468592
12.742498,1.9997383
11.991583,1.822959
13.363973,2.775858
